,Market Share_total
307,20.11
308,20.11
309,16.089999999999996
310,13.770000000000001
311,13.770000000000001
312,13.760000000000002
313,10.06
314,11.3
315,11.379999999999999
316,11.190000000000001
317,10.45
318,12.29
319,10.98
320,7.859999999999999
321,7.859999999999999
322,7.45
323,8.149999999999999
324,13.829999999999998
325,15.339999999999998
326,15.540000000000001
327,15.5
328,8.94
329,10.09
330,12.169999999999998
331,18.77
332,17.49
333,16.110000000000003
334,7.220000000000001
335,7.68
336,6.1899999999999995
337,8.940000000000001
338,10.309999999999999
339,10.419999999999998
340,7.32
341,7.590000000000001
342,6.31
343,6.640000000000001
344,7.33
345,7.010000000000001
346,6.03
347,6.590000000000001
348,7.7799999999999985
349,5.6099999999999985
350,9.419999999999998
351,9.34
352,9.639999999999999
353,6.44
354,5.699999999999999
355,11.779999999999998
356,9.6
357,10.6
358,11.379999999999999
359,10.51
360,8.0
361,9.84
362,8.2
363,7.429999999999998
364,11.139999999999999
365,11.41
366,7.359999999999999
367,7.37
368,12.76
369,12.76
370,9.51
371,11.129999999999999
372,11.58
373,9.709999999999999
374,8.55
375,8.07
376,8.39
377,7.230000000000001
378,5.9399999999999995
379,7.889999999999999
380,6.969999999999999
381,7.140000000000001
382,6.489999999999999
383,6.1899999999999995
384,3.09
385,2.29
386,7.750000000000002
387,9.170000000000002
388,9.31
389,7.780000000000001
390,7.840000000000001
391,7.840000000000001
392,9.389999999999999
393,7.83
394,10.62
395,8.23
396,7.17
397,7.720000000000001
398,9.03
399,12.28
400,8.94
401,12.36
402,15.699999999999998
403,13.189999999999998
404,9.82
405,10.69
406,6.93
407,11.040000000000001
408,7.9
409,7.88
410,7.789999999999999
411,7.110000000000001
412,7.279999999999999
413,6.4
414,7.909999999999999
415,6.05
416,14.540000000000001
417,10.830000000000002
418,10.74
419,11.180000000000001
420,10.55
421,12.3
422,12.120000000000001
423,13.330000000000002
424,13.190000000000003
425,13.13
426,12.680000000000001
427,14.15
428,14.14
429,13.169999999999998
430,13.52
431,11.100000000000001
432,10.73
433,6.33
434,8.100000000000001
435,6.17
436,6.2700000000000005
437,14.079999999999998
438,15.4
439,13.649999999999997
440,8.25
441,9.81
442,9.1
443,8.370000000000001
444,9.82
445,9.780000000000001
446,11.5
447,9.27
448,11.91
449,12.13
450,12.290000000000003
451,12.090000000000002
452,12.090000000000002
453,12.250000000000002
454,12.250000000000002
455,14.529999999999998
456,14.529999999999998
457,14.529999999999998
458,14.829999999999998
459,15.27
460,18.159999999999997
461,13.209999999999999
462,10.120000000000001
463,8.680000000000001
464,10.27
465,10.149999999999999
466,9.92
467,10.8
468,12.749999999999998
469,11.559999999999999
470,11.559999999999999
471,11.049999999999999
472,12.02
473,7.639999999999999
474,9.070000000000002
475,5.489999999999999
476,4.489999999999999
477,10.110000000000001
478,8.190000000000001
479,8.330000000000002
480,8.600000000000001
481,8.620000000000001
482,11.879999999999999
483,10.989999999999998
484,9.709999999999999
485,12.669999999999998
486,12.3
487,12.040000000000003
488,11.610000000000001
489,12.820000000000002
490,12.900000000000002
491,12.18
492,12.07
493,7.8199999999999985
494,8.11
495,8.320000000000002
496,8.11
497,6.28
498,5.53
499,8.379999999999999
500,7.06
501,7.06
502,7.049999999999999
503,7.019999999999999
504,4.129999999999999
505,3.3600000000000003
506,10.51
507,10.840000000000002
508,11.98
509,11.98
510,13.660000000000002
511,13.660000000000002
512,12.95
513,12.7
514,12.669999999999998
515,17.22
516,7.699999999999998
517,7.719999999999999
518,7.909999999999998
519,7.909999999999998
520,7.719999999999999
521,8.469999999999999
522,9.91
523,8.389999999999999
524,7.4799999999999995
525,7.149999999999999
526,6.9799999999999995
527,7.249999999999998
528,7.079999999999998
529,6.909999999999998
530,7.4300000000000015
531,8.7
532,8.709999999999999
533,10.45
534,10.51
535,7.500000000000002
536,7.26
537,6.33
538,6.38
539,7.970000000000001
540,8.69
541,5.11
542,8.38
543,7.280000000000001
544,8.07
545,6.83
546,7.970000000000001
547,4.79
548,7.140000000000001
549,12.32
550,9.090000000000002
551,8.06
552,8.06
553,8.99
554,10.58
555,9.17
556,12.33
557,12.620000000000001
558,13.09
559,11.700000000000001
560,12.58
561,13.13
562,13.24
563,12.59
564,12.43
565,8.0
566,8.180000000000001
567,7.489999999999999
568,9.450000000000001
569,7.2700000000000005
570,7.390000000000001
571,5.6
572,6.6800000000000015
573,5.94
574,2.9899999999999998
575,2.0300000000000002
576,9.180000000000001
577,9.86
578,10.090000000000002
579,8.48
580,11.02
581,8.31
582,11.5
583,10.080000000000002
584,8.49
585,11.150000000000002
586,7.07
587,11.16
588,11.16
589,11.16
590,11.52
591,13.839999999999998
592,13.85
593,13.85
594,11.319999999999999
595,11.69
596,10.57
597,6.08
598,7.15
599,7.83
600,6.220000000000001
601,8.57
602,6.1000000000000005
603,4.82
604,4.82
605,6.750000000000002
606,4.540000000000001
607,7.68
608,6.9799999999999995
609,7.289999999999999
610,7.209999999999999
611,7.209999999999999
612,7.209999999999999
613,7.209999999999999
614,7.209999999999999
615,7.209999999999999
616,2.21
617,2.12
618,2.13
619,8.570000000000002
620,9.23
621,9.23
622,9.23
623,9.23
624,9.23
625,9.23
626,9.17
627,9.17
628,9.17
629,9.25
630,9.25
631,9.25
632,10.07
633,10.66
634,10.66
635,6.6
636,6.6
637,6.6
638,6.65
639,6.65
640,6.62
641,6.62
642,7.140000000000001
643,6.840000000000001
644,6.840000000000001
645,6.840000000000001
646,6.69
647,6.69
648,6.890000000000001
649,6.750000000000002
650,6.750000000000002
651,6.11
652,7.32
653,8.760000000000002
654,8.69
655,7.74
656,7.2299999999999995
657,10.2
658,8.6
659,8.6
660,10.389999999999999
661,6.56
662,6.01
663,9.42
664,6.359999999999999
665,6.4799999999999995
666,5.97
667,5.68
668,5.64
669,5.41
670,5.4
671,6.88
672,6.88
673,7.2299999999999995
674,7.889999999999999
675,5.4
676,6.08
677,2.97
678,7.7700000000000005
679,7.7700000000000005
680,8.04
681,8.04
682,8.04
683,9.689999999999998
684,8.139999999999999
685,11.149999999999999
686,11.740000000000002
687,11.740000000000002
688,11.42
689,10.8
690,10.8
691,12.4
692,12.9
693,12.9
694,12.059999999999999
695,10.870000000000001
696,11.9
697,7.840000000000001
698,7.1800000000000015
699,7.6
700,4.7
701,4.93
702,4.93
703,4.42
704,4.65
705,1.1199999999999999
706,1.09
707,1.09
708,1.03
709,1.03
710,1.08
711,0.9800000000000001
712,5.290000000000001
713,5.879999999999999
714,2.5400000000000005
715,2.0300000000000002
716,6.919999999999999
717,13.439999999999998
718,10.029999999999998
719,9.209999999999999
720,7.32
721,14.309999999999999
722,10.38
723,15.6
724,7.56
725,5.7700000000000005
726,7.88
727,7.88
728,7.33
729,4.17
730,6.049999999999999
731,5.459999999999999
732,9.02
733,11.64
734,8.690000000000001
735,11.14
736,6.21
737,9.780000000000003
738,9.760000000000002
739,3.8299999999999996
740,2.79
741,3.59
742,5.570000000000001
743,2.38
744,2.38
745,4.89
746,2.38
747,9.52
748,10.669999999999998
749,7.31
750,8.679999999999998
751,7.340000000000001
752,7.970000000000001
753,7.08
754,6.610000000000001
755,6.409999999999999
756,8.059999999999999
757,9.77
758,11.039999999999997
759,11.210000000000003
760,17.28
761,16.660000000000004
762,16.91
763,15.91
764,16.91
765,15.91
766,16.94
767,18.509999999999998
768,19.009999999999998
769,20.009999999999998
770,11.489999999999998
771,12.809999999999999
772,12.04
773,10.309999999999999
774,9.63
775,9.57
776,10.11
777,8.25
778,9.49
779,7.8
780,9.6
781,14.319999999999999
782,11.360000000000001
783,5.529999999999999
784,7.37
785,6.95
786,6.95
787,6.95
788,7.07
789,7.659999999999999
790,16.76
791,7.1800000000000015
792,7.76
793,7.279999999999999
794,7.999999999999998
795,7.999999999999998
796,7.999999999999998
797,7.999999999999998
798,7.999999999999998
799,7.879999999999998
800,7.879999999999998
801,7.879999999999998
802,7.999999999999998
803,7.4
804,11.879999999999999
805,7.739999999999999
806,2.5900000000000003
807,3.96
808,7.17
809,7.87
810,6.449999999999998
811,3.95
812,4.380000000000001
813,3.8300000000000005
814,4.029999999999999
815,3.4200000000000004
816,3.4
817,3.72
818,2.98
819,3.44
820,5.840000000000001
821,6.3500000000000005
822,7.15
823,6.290000000000001
824,5.87
825,7.160000000000001
826,4.89
827,3.79
828,2.01
829,3.2399999999999998
830,2.4299999999999997
831,2.7600000000000002
832,4.419999999999999
833,3.53
834,2.3899999999999997
835,1.89
836,4.66
837,4.66
838,3.97
839,4.66
840,3.7399999999999998
841,3.97
842,3.97
843,3.97
844,3.97
845,5.19
846,3.97
847,5.19
848,4.0600000000000005
849,5.19
850,4.83
851,3.2600000000000002
852,3.2
853,3.4400000000000004
854,2.1100000000000003
855,2.73
856,2.25
857,3.96
858,3.96
859,1.1
860,1.54
861,1.17
862,0.9
863,1.06
864,1.0799999999999998
865,0.7700000000000001
866,0.6699999999999999
867,0.8399999999999999
868,1.1099999999999999
869,1.21
870,0.48
871,0.39
872,1.19
873,1.17
874,0.86
875,1.65
876,1.06
877,1.0299999999999998
878,1.02
879,0.8600000000000001
880,1.0899999999999999
881,1.3900000000000003
882,1.64
883,2.46
884,2.67
885,3.31
886,4.659999999999999
887,1.1600000000000001
888,3.9
889,1.25
890,0.02
891,0.16000000000000003
892,0.2
893,0.19000000000000006
894,0.14000000000000004
895,0.19999999999999998
896,0.54
897,0.38
898,0.41999999999999993
899,0.5000000000000001
900,0.52
901,1.03
902,1.1900000000000002
903,1.1400000000000001
904,0.47999999999999987
905,0.5
906,1.48
907,1.0
908,1.18
909,1.5799999999999998
910,1.38
911,1.58
912,1.05
913,2.55
914,0.8400000000000001
915,1.25
916,7.68
917,8.860000000000001
918,6.49
919,8.48
920,7.0699999999999985
921,8.450000000000001
922,2.3000000000000003
923,2.6000000000000005
924,2.6300000000000003
925,12.45
926,7.630000000000001
927,3.59
928,8.02
929,8.03
930,8.03
931,8.03
932,8.040000000000001
933,7.9799999999999995
934,7.959999999999999
935,8.01
936,10.709999999999999
937,11.45
938,8.01
939,9.0
940,9.0
941,8.86
942,9.040000000000001
943,9.36
944,9.95
945,9.95
946,6.99
947,6.95
948,6.95
949,7.7700000000000005
950,3.47
951,6.709999999999999
952,9.03
953,7.05
954,9.790000000000001
955,6.6
956,6.58
957,6.3100000000000005
958,7.379999999999998
959,11.139999999999999
960,8.66
961,11.080000000000002
962,8.65
963,8.760000000000002
964,8.260000000000002
965,7.81
966,7.220000000000001
967,7.269999999999999
968,8.490000000000002
969,7.2299999999999995
970,5.57
971,6.93
972,4.760000000000001
973,7.609999999999999
974,7.860000000000001
975,9.92
976,9.879999999999999
977,10.59
978,11.28
979,8.389999999999999
980,6.950000000000001
981,7.0699999999999985
982,7.090000000000001
983,8.129999999999999
984,9.89
985,10.03
986,8.139999999999999
987,7.789999999999999
988,7.739999999999999
989,7.45
990,5.62
991,5.26
992,7.220000000000001
993,7.870000000000002
994,10.92
995,11.850000000000001
996,11.22
997,11.68
998,11.68
999,7.01
1000,6.27
1001,11.45
1002,12.11
1003,12.11
1004,13.430000000000001
1005,14.169999999999998
1006,14.169999999999998
1007,14.91
1008,14.91
1009,14.91
1010,19.18
1011,9.76
1012,9.76
1013,10.97
1014,12.57
1015,11.91
1016,9.34
1017,13.440000000000001
1018,9.51
1019,10.709999999999997
1020,8.17
1021,9.49
1022,7.38
1023,5.75
1024,4.4
1025,9.4
1026,6.0
1027,9.32
1028,9.4
1029,6.0
1030,20.009999999999998
1031,20.009999999999998
1032,20.910000000000004
1033,15.929999999999998
1034,14.11
1035,14.12
1036,14.12
1037,7.609999999999999
1038,10.33
1039,12.309999999999999
1040,5.049999999999999
1041,11.209999999999999
1042,10.55
1043,11.61
1044,11.139999999999997
1045,7.4
1046,8.299999999999999
1047,8.299999999999999
1048,7.1
1049,7.76
1050,7.889999999999998
1051,12.600000000000001
1052,13.62
1053,13.76
1054,14.139999999999997
1055,9.399999999999999
1056,13.080000000000002
1057,12.32
1058,12.17
1059,7.860000000000001
1060,11.67
1061,8.3
1062,8.45
1063,6.57
1064,9.8
1065,10.06
1066,19.279999999999998
1067,15.429999999999998
1068,15.87
1069,7.31
1070,7.379999999999998
1071,6.06
1072,8.73
1073,9.92
1074,10.06
1075,8.05
1076,8.07
1077,7.3
1078,7.750000000000002
1079,7.370000000000002
1080,7.8100000000000005
1081,6.2299999999999995
1082,6.760000000000001
1083,7.659999999999999
1084,5.589999999999999
1085,8.690000000000001
1086,8.8
1087,9.0
1088,5.6
1089,4.859999999999999
1090,13.25
1091,14.26
1092,5.17
1093,10.65
1094,11.7
1095,8.309999999999999
1096,8.71
1097,10.35
1098,8.81
1099,7.369999999999999
1100,10.05
1101,10.879999999999999
1102,7.56
1103,7.399999999999999
1104,12.190000000000001
1105,12.23
1106,9.77
1107,10.9
1108,11.35
1109,23.5
1110,4.470000000000001
1111,9.5
1112,7.859999999999999
1113,6.55
1114,6.410000000000001
1115,9.180000000000001
1116,5.609999999999999
1117,6.359999999999999
1118,4.8100000000000005
1119,6.37
1120,9.52
1121,9.66
1122,8.13
1123,6.42
1124,6.609999999999999
1125,9.72
1126,9.84
1127,7.989999999999999
1128,6.87
1129,11.16
1130,6.920000000000002
1131,7.239999999999999
1132,8.52
1133,11.44
1134,11.459999999999999
1135,11.43
1136,13.830000000000002
1137,12.599999999999998
1138,9.72
1139,7.470000000000001
1140,7.82
1141,7.669999999999999
1142,7.9799999999999995
1143,7.880000000000001
1144,7.540000000000001
1145,7.589999999999999
1146,6.83
1147,8.65
1148,7.959999999999999
1149,10.850000000000001
1150,10.510000000000002
1151,9.23
1152,9.110000000000003
1153,10.71
1154,12.14
1155,13.809999999999999
1156,10.22
1157,14.029999999999998
1158,10.07
1159,9.190000000000001
1160,9.140000000000002
1161,12.89
1162,12.71
1163,13.669999999999998
1164,11.460000000000003
1165,11.700000000000001
1166,10.8
1167,8.66
1168,8.430000000000001
1169,8.669999999999998
1170,5.970000000000001
1171,5.390000000000001
1172,12.399999999999999
1173,12.73
1174,10.440000000000001
1175,11.370000000000001
1176,10.41
1177,8.99
1178,8.760000000000002
1179,8.580000000000002
1180,11.59
1181,12.35
1182,10.28
1183,11.91
1184,9.42
1185,10.570000000000002
1186,10.120000000000001
1187,10.72
1188,10.750000000000002
1189,11.330000000000002
1190,7.470000000000001
1191,8.43
1192,13.4
1193,13.959999999999999
1194,12.640000000000002
1195,10.96
1196,11.940000000000001
1197,9.080000000000002
1198,9.97
1199,11.010000000000002
1200,11.129999999999999
1201,11.93
1202,12.209999999999997
1203,12.819999999999999
1204,11.049999999999999
1205,10.239999999999998
1206,12.699999999999998
1207,13.01
1208,8.2
1209,7.83
1210,3.499999999999999
1211,2.8600000000000003
1212,9.22
1213,8.200000000000001
1214,8.220000000000002
1215,8.72
1216,8.620000000000001
1217,7.139999999999999
1218,10.739999999999998
1219,9.459999999999999
1220,11.899999999999999
1221,9.66
1222,10.620000000000001
1223,10.379999999999999
1224,11.669999999999998
1225,11.84
1226,11.930000000000001
1227,10.47
1228,8.26
1229,8.3
1230,9.03
1231,7.589999999999999
1232,5.45
1233,5.879999999999999
1234,7.7
1235,7.500000000000002
1236,7.500000000000002
1237,7.500000000000002
1238,7.4700000000000015
1239,3.939999999999999
1240,3.16
1241,10.39
1242,11.16
1243,12.5
1244,12.5
1245,13.37
1246,13.37
1247,12.219999999999999
1248,12.249999999999998
1249,11.969999999999999
1250,16.23
1251,6.94
1252,7.13
1253,6.9799999999999995
1254,8.43
1255,7.6899999999999995
1256,7.580000000000001
1257,7.01
1258,7.029999999999999
1259,7.6
1260,7.43
1261,7.359999999999999
1262,8.45
1263,8.92
1264,10.43
1265,9.889999999999999
1266,8.309999999999999
1267,7.99
1268,7.0200000000000005
1269,7.339999999999999
1270,8.24
1271,7.790000000000001
1272,5.039999999999999
1273,8.330000000000002
1274,6.590000000000001
1275,7.290000000000001
1276,7.139999999999999
1277,8.489999999999998
1278,6.460000000000001
1279,8.16
1280,9.459999999999999
1281,8.7
1282,8.570000000000002
1283,8.56
1284,8.58
1285,10.17
1286,7.56
1287,12.68
1288,10.65
1289,11.5
1290,10.72
1291,12.61
1292,12.079999999999998
1293,12.19
1294,12.59
1295,11.010000000000002
1296,8.82
1297,8.85
1298,9.28
1299,8.63
1300,6.980000000000001
1301,6.68
1302,5.340000000000001
1303,6.13
1304,4.76
1305,2.0100000000000002
1306,9.16
1307,9.93
1308,8.27
1309,11.369999999999997
1310,9.110000000000001
1311,7.94
1312,9.75
1313,7.040000000000001
1314,10.9
1315,9.41
1316,7.08
1317,6.37
1318,6.99
1319,6.719999999999999
1320,11.55
1321,7.480000000000001
1322,12.270000000000001
1323,8.55
1324,12.280000000000001
1325,10.28
1326,10.19
1327,7.83
1328,6.85
1329,6.919999999999999
1330,8.450000000000001
1331,3.6999999999999993
1332,4.7
1333,7.789999999999999
1334,7.720000000000001
1335,8.03
1336,7.9
1337,7.9
1338,7.9
1339,7.9
1340,7.7700000000000005
1341,7.7700000000000005
1342,2.13
1343,2.12
1344,2.13
1345,7.209999999999999
1346,7.869999999999999
1347,7.869999999999999
1348,7.869999999999999
1349,7.869999999999999
1350,7.869999999999999
1351,7.869999999999999
1352,7.85
1353,7.85
1354,7.85
1355,7.93
1356,7.93
1357,7.93
1358,8.78
1359,9.429999999999998
1360,9.429999999999998
1361,6.859999999999999
1362,6.859999999999999
1363,6.859999999999999
1364,6.9
1365,6.9
1366,6.87
1367,6.87
1368,7.390000000000001
1369,7.080000000000001
1370,7.080000000000001
1371,7.080000000000001
1372,6.9300000000000015
1373,6.9300000000000015
1374,7.280000000000001
1375,6.910000000000001
1376,6.910000000000001
1377,7.000000000000002
1378,7.1800000000000015
1379,7.829999999999998
1380,7.829999999999998
1381,7.38
1382,6.839999999999999
1383,9.53
1384,8.919999999999998
1385,8.729999999999999
1386,10.73
1387,8.33
1388,8.1
1389,8.860000000000001
1390,8.489999999999998
1391,6.2299999999999995
1392,5.72
1393,5.01
1394,4.9799999999999995
1395,5.69
1396,5.7
1397,7.18
1398,7.18
1399,7.529999999999999
1400,8.0
1401,5.88
1402,6.959999999999999
1403,6.4
1404,4.87
1405,6.300000000000001
1406,6.300000000000001
1407,6.2700000000000005
1408,6.640000000000001
1409,8.190000000000001
1410,8.190000000000001
1411,8.16
1412,6.68
1413,11.25
1414,10.120000000000001
1415,10.120000000000001
1416,9.82
1417,9.75
1418,9.75
1419,11.27
1420,10.4
1421,12.09
1422,10.39
1423,8.040000000000001
1424,7.6800000000000015
1425,8.620000000000001
1426,7.25
1427,5.1
1428,4.590000000000001
1429,1.33
1430,1.33
1431,1.31
1432,1.34
1433,0.9200000000000002
1434,0.8699999999999999
1435,1.7100000000000002
1436,6.4799999999999995
1437,3.6800000000000006
1438,3.44
1439,3.53
1440,1.6599999999999997
1441,6.35
1442,12.839999999999998
1443,10.66
1444,11.389999999999999
1445,10.849999999999998
1446,10.279999999999998
1447,10.729999999999999
1448,11.370000000000001
1449,6.63
1450,6.389999999999999
1451,7.35
1452,6.87
1453,4.97
1454,5.33
1455,5.699999999999999
1456,8.829999999999998
1457,7.720000000000001
1458,10.100000000000001
1459,7.67
1460,10.100000000000001
1461,4.13
1462,3.2600000000000002
1463,5.9
1464,6.530000000000001
1465,3.17
1466,3.05
1467,3.4799999999999995
1468,3.05
1469,3.4799999999999995
1470,3.05
1471,11.69
1472,9.71
1473,11.790000000000001
1474,8.32
1475,8.139999999999999
1476,7.81
1477,8.120000000000001
1478,8.849999999999998
1479,7.590000000000001
1480,4.210000000000001
1481,7.51
1482,6.1899999999999995
1483,7.12
1484,8.709999999999999
1485,10.34
1486,9.599999999999998
1487,20.900000000000002
1488,19.26
1489,17.21
1490,20.0
1491,18.81
1492,23.009999999999998
1493,21.18
1494,13.469999999999999
1495,13.8
1496,12.23
1497,10.05
1498,10.34
1499,8.06
1500,9.46
1501,7.83
1502,8.56
1503,13.51
1504,8.76
1505,15.190000000000001
1506,11.479999999999999
1507,5.529999999999999
1508,21.97
1509,8.629999999999999
1510,8.629999999999999
1511,8.3
1512,8.27
1513,22.46
1514,19.15
1515,7.589999999999999
1516,7.210000000000001
1517,7.279999999999999
1518,11.98
1519,27.2
1520,10.98
1521,10.98
1522,10.98
1523,24.93
1524,19.119999999999997
1525,9.669999999999998
1526,9.669999999999998
1527,14.64
1528,11.43
1529,10.79
1530,8.1
1531,2.93
1532,5.56
1533,9.56
1534,9.02
1535,7.970000000000001
1536,4.999999999999999
1537,4.87
1538,3.85
1539,4.029999999999999
1540,3.1399999999999997
1541,3.62
1542,3.81
1543,3.31
1544,3.7299999999999995
1545,5.040000000000001
1546,5.37
1547,5.99
1548,5.45
1549,5.470000000000001
1550,6.57
1551,4.98
1552,3.4300000000000006
1553,2.38
1554,2.1499999999999995
1555,1.6600000000000001
1556,3.8
1557,3.96
1558,3.4299999999999997
1559,2.37
1560,3.8
1561,2.46
1562,1.95
1563,4.15
1564,4.15
1565,2.88
1566,4.15
1567,3.2299999999999995
1568,3.2
1569,3.2
1570,4.46
1571,4.46
1572,3.3200000000000003
1573,4.1
1574,4.1
1575,2.3300000000000005
1576,3.3200000000000003
1577,2.1800000000000006
1578,2.6300000000000003
1579,2.0000000000000004
1580,1.9600000000000002
1581,2.18
1582,3.31
1583,3.31
1584,1.02
1585,1.3199999999999998
1586,1.31
1587,0.93
1588,0.79
1589,0.8200000000000001
1590,0.8800000000000001
1591,1.1199999999999999
1592,1.08
1593,0.66
1594,0.95
1595,1.0699999999999998
1596,1.17
1597,1.3599999999999999
1598,0.7500000000000002
1599,1.0
1600,0.96
1601,0.66
1602,3.05
1603,0.9400000000000001
1604,0.9
1605,1.09
1606,1.5399999999999998
1607,1.3900000000000003
1608,0.8700000000000001
1609,0.96
1610,2.38
1611,2.54
1612,2.9800000000000004
1613,2.3099999999999996
1614,5.67
1615,4.07
1616,1.3600000000000003
1617,1.03
1618,0.33999999999999997
1619,0.26
1620,0.26
1621,0.31999999999999995
1622,0.33
1623,0.29
1624,0.38999999999999996
1625,0.4
1626,0.36
1627,0.5
1628,0.8299999999999998
1629,1.47
1630,1.19
1631,1.0000000000000002
1632,0.41
1633,0.62
1634,1.7200000000000002
1635,0.62
1636,1.3
1637,1.44
1638,0.96
1639,2.55
1640,1.53
1641,1.48
1642,7.020000000000001
1643,4.86
1644,8.110000000000001
1645,6.090000000000001
1646,8.17
1647,1.6
1648,1.8099999999999998
1649,1.6800000000000002
1650,12.440000000000001
1651,7.459999999999999
1652,3.15
1653,8.05
1654,7.9
1655,8.079999999999998
1656,8.079999999999998
1657,7.929999999999998
1658,7.879999999999998
1659,7.889999999999999
1660,7.95
1661,9.93
1662,11.819999999999999
1663,7.92
1664,9.07
1665,9.07
